run_id,layer,seed,rank,alpha,epochs,lr,n_trainable_params,frozen_val_acc,lora_val_acc,utility_delta,train_acc,final_loss,loss_curve,elapsed_sec,cka,grad_norm,fisher
layer0_seed0,0,0,4,16,60,0.05,577,0.7458,0.5125,-0.2333,0.6964,0.61174,"[0.6986, 0.57522, 0.51919, 0.50628, 0.48297, 0.48593, 0.45906, 0.45997, 0.45465, 0.46786, 0.47274, 0.49053, 0.5597, 0.5627, 0.58475, 0.54725, 0.54441, 0.5679, 0.56814, 0.56557, 0.5611, 0.56423, 0.55825, 0.57598, 0.56348, 0.59785, 0.55531, 0.59062, 0.60209, 0.61808, 0.60916, 0.60418, 0.57672, 0.60565, 0.58162, 0.57804, 0.57574, 0.56249, 0.58685, 0.56897, 0.57957, 0.56969, 0.56041, 0.56378, 0.54584, 0.55003, 0.56446, 0.56187, 0.56259, 0.53752, 0.54977, 0.5581, 0.54664, 0.55516, 0.57202, 0.56003, 0.54517, 0.57134, 0.55425, 0.61174]",0.235,0.6529075503349304,0.7877477407455444,0.00015150062972679734
layer0_seed1,0,1,4,16,60,0.05,577,0.7042,0.5417,-0.1625,0.6679,0.63619,"[0.76722, 0.62816, 0.54423, 0.52134, 0.51927, 0.51621, 0.50622, 0.48162, 0.50702, 0.52938, 0.54135, 0.57163, 0.60353, 0.58331, 0.57686, 0.5455, 0.57446, 0.58054, 0.58946, 0.61769, 0.65396, 0.67568, 0.6191, 0.67242, 0.63884, 0.61079, 0.61439, 0.5911, 0.57247, 0.5911, 0.57129, 0.58604, 0.58403, 0.60778, 0.59545, 0.58438, 0.58925, 0.58707, 0.58362, 0.57742, 0.55752, 0.55501, 0.56246, 0.5848, 0.59262, 0.59972, 0.59437, 0.60567, 0.62013, 0.63593, 0.59726, 0.59387, 0.62558, 0.59113, 0.58293, 0.59986, 0.62442, 0.61245, 0.61758, 0.63619]",0.197,0.6508641242980957,0.8137307167053223,0.00016165962733794004
layer0_seed2,0,2,4,16,60,0.05,577,0.75,0.6125,-0.1375,0.7393,0.53913,"[0.77239, 0.61945, 0.55286, 0.50205, 0.44588, 0.43425, 0.42444, 0.38999, 0.40127, 0.4176, 0.44432, 0.41919, 0.403, 0.40903, 0.39698, 0.41142, 0.44551, 0.4635, 0.47789, 0.45554, 0.42415, 0.45356, 0.44497, 0.44515, 0.43754, 0.45228, 0.47657, 0.48698, 0.53696, 0.50818, 0.47912, 0.4815, 0.48764, 0.49705, 0.50651, 0.52005, 0.47843, 0.55658, 0.5201, 0.52404, 0.51842, 0.53695, 0.53198, 0.54178, 0.54322, 0.5467, 0.5277, 0.54266, 0.55045, 0.57026, 0.54986, 0.55851, 0.5338, 0.53419, 0.53094, 0.52582, 0.5375, 0.54306, 0.55171, 0.53913]",0.193,0.6592530012130737,0.9183494448661804,0.00020589983614627272
layer1_seed0,1,0,4,16,60,0.05,577,0.7458,0.6708,-0.075,0.8214,0.34338,"[0.6986, 0.58144, 0.51011, 0.4692, 0.41423, 0.39259, 0.37718, 0.33891, 0.34218, 0.31266, 0.30366, 0.29223, 0.27011, 0.25127, 0.24851, 0.23299, 0.22154, 0.21455, 0.18319, 0.17685, 0.17177, 0.18132, 0.18634, 0.18987, 0.18379, 0.16674, 0.18116, 0.19286, 0.17949, 0.18316, 0.16993, 0.21449, 0.19933, 0.18297, 0.17053, 0.1862, 0.2019, 0.20162, 0.23232, 0.24039, 0.26801, 0.28785, 0.28425, 0.32523, 0.31411, 0.32327, 0.30537, 0.29038, 0.2997, 0.33364, 0.32899, 0.37837, 0.36529, 0.37503, 0.40021, 0.36081, 0.32794, 0.31109, 0.32712, 0.34338]",0.196,0.4869005084037781,0.41863495111465454,4.27869163104333e-05
layer1_seed1,1,1,4,16,60,0.05,577,0.7042,0.625,-0.0792,0.8911,0.2748,"[0.76722, 0.63109, 0.55425, 0.49672, 0.45561, 0.42123, 0.39901, 0.37418, 0.35173, 0.31825, 0.30089, 0.296, 0.32923, 0.28682, 0.27938, 0.27992, 0.29849, 0.28813, 0.24166, 0.23585, 0.24589, 0.23169, 0.23997, 0.23429, 0.20146, 0.20125, 0.19316, 0.18887, 0.18874, 0.16877, 0.18195, 0.17579, 0.17539, 0.19606, 0.187, 0.18807, 0.20005, 0.1642, 0.19546, 0.1904, 0.20593, 0.21139, 0.17757, 0.19267, 0.19903, 0.17547, 0.1995, 0.19019, 0.19687, 0.2228, 0.19945, 0.18959, 0.20964, 0.2195, 0.21122, 0.2888, 0.25718, 0.2929, 0.24934, 0.2748]",0.183,0.49881622195243835,0.43759265542030334,4.674984302255325e-05
layer1_seed2,1,2,4,16,60,0.05,577,0.75,0.6125,-0.1375,0.8786,0.30553,"[0.77239, 0.62439, 0.53271, 0.45898, 0.41109, 0.40414, 0.37411, 0.36266, 0.35103, 0.34602, 0.31042, 0.28406, 0.27005, 0.25261, 0.24498, 0.23342, 0.22407, 0.1992, 0.20213, 0.21563, 0.19626, 0.22148, 0.22838, 0.20105, 0.20444, 0.20846, 0.21072, 0.18265, 0.19585, 0.18432, 0.20566, 0.19609, 0.20794, 0.21092, 0.18787, 0.17342, 0.19822, 0.2271, 0.20808, 0.21634, 0.1943, 0.17441, 0.17401, 0.21988, 0.21273, 0.21432, 0.22488, 0.23527, 0.20714, 0.22105, 0.2484, 0.23575, 0.22604, 0.23906, 0.24646, 0.25802, 0.2793, 0.30919, 0.31183, 0.30553]",0.183,0.4951328635215759,0.48166561126708984,5.6641059927642345e-05
layer2_seed0,2,0,4,16,60,0.05,577,0.7458,0.6708,-0.075,0.9304,0.18212,"[0.6986, 0.58327, 0.50817, 0.43351, 0.39406, 0.34476, 0.31147, 0.28635, 0.25273, 0.22495, 0.20148, 0.18077, 0.17045, 0.16347, 0.15538, 0.14517, 0.12448, 0.11592, 0.10621, 0.10097, 0.08673, 0.07859, 0.07164, 0.07278, 0.06666, 0.05961, 0.05712, 0.05576, 0.05282, 0.04774, 0.04688, 0.04106, 0.03857, 0.03454, 0.03019, 0.03743, 0.03673, 0.03613, 0.03611, 0.03119, 0.03363, 0.04193, 0.03604, 0.03754, 0.05861, 0.04843, 0.04824, 0.04189, 0.07194, 0.08636, 0.0994, 0.08073, 0.07975, 0.07941, 0.10573, 0.10564, 0.14928, 0.12643, 0.15014, 0.18212]",0.18,0.37262657284736633,0.24054478108882904,1.4126416317594703e-05
layer2_seed1,2,1,4,16,60,0.05,577,0.7042,0.6833,-0.0208,1.0,0.01287,"[0.76722, 0.63435, 0.54612, 0.47525, 0.41469, 0.37915, 0.34022, 0.30226, 0.27848, 0.25434, 0.23406, 0.21082, 0.19524, 0.1647, 0.1465, 0.13857, 0.12822, 0.12433, 0.12864, 0.1117, 0.11015, 0.09208, 0.08786, 0.08629, 0.08683, 0.08058, 0.0825, 0.07376, 0.09538, 0.08078, 0.06909, 0.06794, 0.06436, 0.06221, 0.05488, 0.05878, 0.06655, 0.06308, 0.05478, 0.05498, 0.05659, 0.04775, 0.03624, 0.03773, 0.0393, 0.03903, 0.03773, 0.03725, 0.03722, 0.03356, 0.02525, 0.02487, 0.02079, 0.01831, 0.01806, 0.01854, 0.01716, 0.01467, 0.01373, 0.01287]",0.187,0.38366299867630005,0.2323828637599945,1.318402610195335e-05
layer2_seed2,2,2,4,16,60,0.05,577,0.75,0.675,-0.075,0.9571,0.13604,"[0.77239, 0.62852, 0.52806, 0.45027, 0.39766, 0.36316, 0.33616, 0.29437, 0.27869, 0.25712, 0.21863, 0.19909, 0.17851, 0.15717, 0.14737, 0.13517, 0.13153, 0.11789, 0.10415, 0.09119, 0.07821, 0.07684, 0.07133, 0.06289, 0.05762, 0.04962, 0.04456, 0.04188, 0.0392, 0.04036, 0.03413, 0.03129, 0.0299, 0.02742, 0.02395, 0.02955, 0.03188, 0.03935, 0.04736, 0.04262, 0.05195, 0.05968, 0.06672, 0.06608, 0.06635, 0.08455, 0.07707, 0.08715, 0.07853, 0.08632, 0.08598, 0.09963, 0.10262, 0.13522, 0.14349, 0.10853, 0.11178, 0.12057, 0.13793, 0.13604]",0.156,0.37860798835754395,0.2655535042285919,1.721646731311921e-05
layer3_seed0,3,0,4,16,60,0.05,577,0.7458,0.7042,-0.0417,1.0,0.00185,"[0.6986, 0.58591, 0.49775, 0.42608, 0.36415, 0.31434, 0.25493, 0.21686, 0.19279, 0.17319, 0.14584, 0.12665, 0.11064, 0.09806, 0.08537, 0.07864, 0.07813, 0.06911, 0.05948, 0.05191, 0.04561, 0.04452, 0.0383, 0.03314, 0.02825, 0.02478, 0.02059, 0.02015, 0.017, 0.01534, 0.01436, 0.01315, 0.01181, 0.01073, 0.00979, 0.00882, 0.00797, 0.00735, 0.00679, 0.00632, 0.00582, 0.00542, 0.005, 0.00458, 0.00421, 0.00384, 0.00357, 0.00336, 0.00318, 0.003, 0.00284, 0.0027, 0.00256, 0.00242, 0.0023, 0.0022, 0.00211, 0.00201, 0.00193, 0.00185]",0.162,0.3043941259384155,0.13872873783111572,4.698649718193337e-06
