layer,reported_layer,mean_frozen_acc,mean_lora_acc,mean_utility_delta,std_utility_delta,min_utility_delta,max_utility_delta,n_runs,utility_delta_seed0,utility_delta_seed1,utility_delta_seed2
0,L1,0.8360093333333333,0.908257,0.07224766666666667,0.016054785714338677,0.06078,0.090596,3,0.06078,0.090596,0.065367
1,L2,0.8360093333333333,0.9166666666666666,0.08065733333333334,0.01839673738284409,0.063073,0.099771,3,0.079128,0.099771,0.063073
2,L3,0.8360093333333333,0.9132263333333333,0.077217,0.008607359873968327,0.068807,0.086009,3,0.076835,0.086009,0.068807
3,L4,0.8291284999999999,0.9202980000000001,0.0911695,0.021894147265879065,0.075688,0.106651,2,0.075688,0.106651,
4,L5,0.8360093333333333,0.9224006666666668,0.08639133333333333,0.019097764328144105,0.071101,0.107798,3,0.080275,0.107798,0.071101
5,L6,0.8360093333333333,0.9235473333333334,0.08753833333333333,0.01557013687587021,0.077982,0.105505,3,0.077982,0.105505,0.079128
6,L7,0.8360093333333333,0.9262233333333333,0.09021433333333333,0.01647264685268683,0.077982,0.108945,3,0.083716,0.108945,0.077982
7,L8,0.8360093333333333,0.926988,0.09097866666666667,0.01751765935658452,0.075688,0.110092,3,0.087156,0.110092,0.075688
8,L9,0.8360093333333333,0.9227826666666666,0.08677366666666668,0.017554625753155015,0.073395,0.106651,3,0.080275,0.106651,0.073395
9,L10,0.8360093333333333,0.9285166666666668,0.09250766666666667,0.01671105419575119,0.079128,0.111239,3,0.087156,0.111239,0.079128
10,L11,0.8360093333333333,0.9231653333333334,0.08715600000000001,0.01986315866119988,0.075688,0.110092,3,0.075688,0.110092,0.075688
11,L12,0.8360093333333333,0.9189603333333333,0.082951,0.01885555029692849,0.068807,0.104358,3,0.075688,0.104358,0.068807
