held_out_seed,layer,reported_layer,mean_utility_delta_remaining_seeds,rank
0,3,L4,0.106651,1
0,9,L10,0.0951835,2
0,6,L7,0.0934635,3
0,10,L11,0.09289,4
0,7,L8,0.09289,5
0,5,L6,0.0923165,6
0,8,L9,0.09002299999999999,7
0,4,L5,0.0894495,8
0,11,L12,0.0865825,9
0,1,L2,0.081422,10
0,0,L1,0.0779815,11
0,2,L3,0.077408,12
1,9,L10,0.083142,1
1,7,L8,0.081422,2
1,6,L7,0.080849,3
1,5,L6,0.078555,4
1,8,L9,0.076835,5
1,4,L5,0.075688,6
1,10,L11,0.075688,7
1,3,L4,0.075688,8
1,2,L3,0.072821,9
1,11,L12,0.07224749999999999,10
1,1,L2,0.07110050000000001,11
1,0,L1,0.0630735,12
2,9,L10,0.0991975,1
2,7,L8,0.09862399999999999,2
2,6,L7,0.0963305,3
2,4,L5,0.0940365,4
2,8,L9,0.09346299999999999,5
2,10,L11,0.09289,6
2,5,L6,0.0917435,7
2,3,L4,0.0911695,8
2,11,L12,0.090023,9
2,1,L2,0.0894495,10
2,2,L3,0.081422,11
2,0,L1,0.075688,12
