layer,reported_layer,seed,frozen_val_acc,lora_val_acc,utility_delta,cka,grad_norm,squared_gradient_proxy,n_trainable_params,training_time_sec,backbone_unchanged,model,resolved_model_revision,dataset,max_length,lora_rank,lora_alpha,target_modules,learning_rate,batch_size,epochs,probe_size,probe_seed
0,L1,0,0.841743,0.902523,0.06078,2.3956338215253004e-12,0.002276869025081396,2.7573334782961256e-13,616706,1482.673,True,roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,nyu-mll/glue/sst2,128,8,16,"['query', 'value']",0.0003,32,5,512,42
0,L1,1,0.816514,0.90711,0.090596,2.3956338215253004e-12,0.0022149072028696537,2.608601811122935e-13,616706,1453.755,True,roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,nyu-mll/glue/sst2,128,8,16,"['query', 'value']",0.0003,32,5,512,42
0,L1,2,0.849771,0.915138,0.065367,2.3956338215253004e-12,0.002163476776331663,2.4894002874711885e-13,616706,1540.964,True,roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,nyu-mll/glue/sst2,128,8,16,"['query', 'value']",0.0003,32,5,512,42
1,L2,0,0.841743,0.920872,0.079128,5.402623140526863e-11,0.004886487033218145,1.2701211610233187e-12,616706,1482.525,True,roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,nyu-mll/glue/sst2,128,8,16,"['query', 'value']",0.0003,32,5,512,42
1,L2,1,0.816514,0.916284,0.099771,5.402623140526863e-11,0.0048083350993692875,1.230139145928788e-12,616706,1394.277,True,roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,nyu-mll/glue/sst2,128,8,16,"['query', 'value']",0.0003,32,5,512,42
1,L2,2,0.849771,0.912844,0.063073,5.402623140526863e-11,0.004694226197898388,1.1720108390733674e-12,616706,1481.322,True,roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,nyu-mll/glue/sst2,128,8,16,"['query', 'value']",0.0003,32,5,512,42
2,L3,0,0.841743,0.918578,0.076835,2.245461455663289e-10,0.0074178134091198444,2.921516327469842e-12,616706,1335.239,True,roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,nyu-mll/glue/sst2,128,8,16,"['query', 'value']",0.0003,32,5,512,42
2,L3,1,0.816514,0.902523,0.086009,2.245461455663289e-10,0.007354692555963993,2.8723889586301787e-12,616706,1415.384,True,roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,nyu-mll/glue/sst2,128,8,16,"['query', 'value']",0.0003,32,5,512,42
2,L3,2,0.849771,0.918578,0.068807,2.245461455663289e-10,0.007396464701741934,2.904571331716066e-12,616706,1333.259,True,roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,nyu-mll/glue/sst2,128,8,16,"['query', 'value']",0.0003,32,5,512,42
3,L4,0,0.841743,0.917431,0.075688,2.382556929525492e-10,0.008047480136156082,3.437583117466003e-12,616706,1433.487,True,roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,nyu-mll/glue/sst2,128,8,16,"['query', 'value']",0.0003,32,5,512,42
3,L4,1,0.816514,0.923165,0.106651,2.382556929525492e-10,0.00797834899276495,3.3791257552512333e-12,616706,1333.137,True,roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,nyu-mll/glue/sst2,128,8,16,"['query', 'value']",0.0003,32,5,512,42
4,L5,0,0.841743,0.922018,0.080275,2.5335823716776673e-11,0.007671257480978966,3.1252253389346674e-12,616706,1278.02,True,roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,nyu-mll/glue/sst2,128,8,16,"['query', 'value']",0.0003,32,5,512,42
4,L5,1,0.816514,0.924312,0.107798,2.5335823716776673e-11,0.007582306396216154,3.053450721435258e-12,616706,1373.485,True,roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,nyu-mll/glue/sst2,128,8,16,"['query', 'value']",0.0003,32,5,512,42
4,L5,2,0.849771,0.920872,0.071101,2.5335823716776673e-11,0.007023002486675978,2.6197607451428073e-12,616706,1272.338,True,roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,nyu-mll/glue/sst2,128,8,16,"['query', 'value']",0.0003,32,5,512,42
5,L6,0,0.841743,0.919725,0.077982,4.601442490925756e-12,0.010101153515279293,5.414247175594689e-12,616706,1178.615,True,roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,nyu-mll/glue/sst2,128,8,16,"['query', 'value']",0.0003,32,5,512,42
5,L6,1,0.816514,0.922018,0.105505,4.601442490925756e-12,0.010856431908905506,6.253856807414415e-12,616706,1227.711,True,roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,nyu-mll/glue/sst2,128,8,16,"['query', 'value']",0.0003,32,5,512,42
5,L6,2,0.849771,0.928899,0.079128,4.601442490925756e-12,0.010331055149435997,5.6629432046428896e-12,616706,1179.635,True,roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,nyu-mll/glue/sst2,128,8,16,"['query', 'value']",0.0003,32,5,512,42
6,L7,0,0.841743,0.925459,0.083716,4.905317905340434e-12,0.015360615216195583,1.2513730503205256e-11,616706,1177.215,True,roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,nyu-mll/glue/sst2,128,8,16,"['query', 'value']",0.0003,32,5,512,42
6,L7,1,0.816514,0.925459,0.108945,4.905317905340434e-12,0.015772463753819466,1.3194336248578686e-11,616706,1115.142,True,roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,nyu-mll/glue/sst2,128,8,16,"['query', 'value']",0.0003,32,5,512,42
6,L7,2,0.849771,0.927752,0.077982,4.905317905340434e-12,0.013872499577701092,1.0207566562836501e-11,616706,1185.214,True,roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,nyu-mll/glue/sst2,128,8,16,"['query', 'value']",0.0003,32,5,512,42
7,L8,0,0.841743,0.928899,0.087156,1.8428493453459538e-10,0.013327059336006641,9.42602593201336e-12,616706,1054.66,True,roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,nyu-mll/glue/sst2,128,8,16,"['query', 'value']",0.0003,32,5,512,42
7,L8,1,0.816514,0.926606,0.110092,1.8428493453459538e-10,0.014104842208325863,1.0558382293468505e-11,616706,1112.481,True,roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,nyu-mll/glue/sst2,128,8,16,"['query', 'value']",0.0003,32,5,512,42
7,L8,2,0.849771,0.925459,0.075688,1.8428493453459538e-10,0.012006725184619427,7.651278915998816e-12,616706,1053.976,True,roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,nyu-mll/glue/sst2,128,8,16,"['query', 'value']",0.0003,32,5,512,42
8,L9,0,0.841743,0.922018,0.080275,2.067278639938941e-11,0.020822014659643173,2.2990474107809078e-11,616706,1043.795,True,roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,nyu-mll/glue/sst2,128,8,16,"['query', 'value']",0.0003,32,5,512,42
8,L9,1,0.816514,0.923165,0.106651,2.067278639938941e-11,0.020053111016750336,2.1325311308495465e-11,616706,993.925,True,roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,nyu-mll/glue/sst2,128,8,16,"['query', 'value']",0.0003,32,5,512,42
8,L9,2,0.849771,0.923165,0.073395,2.067278639938941e-11,0.01734834536910057,1.596104498569062e-11,616706,1054.707,True,roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,nyu-mll/glue/sst2,128,8,16,"['query', 'value']",0.0003,32,5,512,42
